Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion
Fused,0.1,tcga,1,,-3.9800000000000004,10.512998733122554,
Fused,0.1,tcga,2,,-3.9800000000000004,10.512998733122554,
Fused,0.1,tcga,3,,-3.9800000000000004,10.012131876648958,
Fused,0.1,tcga,4,,-3.9800000000000004,10.012131876648958,
Fused,0.1,tcga,5,,-3.9800000000000004,9.967270003600879,
Fused,0.1,tcga,6,,-3.9800000000000004,9.967270003600879,
Fused,0.1,tcga,7,,-3.9800000000000004,11.22116365117008,
Fused,0.1,tcga,8,,-3.9800000000000004,11.22116365117008,
Fused,0.1,tcga,9,,-3.9800000000000004,52.36301257689257,
Fused,0.1,tcga,10,,-3.9800000000000004,52.36301257689257,
Fused,0.1,tcga,11,,-3.9800000000000004,11.421266347835706,
Fused,0.1,tcga,12,,-3.9800000000000004,11.421266347835706,
Fused,0.1,tcga,13,,-3.964745762711864,15.577278638329162,
Fused,0.1,tcga,14,,-3.964745762711864,15.577278638329162,
Fused,0.1,tcga,15,,-3.9800000000000004,9.573293292340649,
Fused,0.1,tcga,16,,-3.9800000000000004,9.573293292340649,
Fused,0.1,tcga,17,,-3.9800000000000004,17.873006270682044,
Fused,0.1,tcga,18,,-3.9800000000000004,17.873006270682044,
Fused,0.1,tcga,19,,-3.9800000000000004,8.647628143465672,
Fused,0.1,tcga,20,,-3.9800000000000004,8.647628143465672,
Fused,0.1,tcga,21,,-3.969830508474576,16.18867572566456,
Fused,0.1,tcga,22,,-3.969830508474576,16.18867572566456,
Fused,0.1,tcga,23,,-3.96728813559322,18.064710912673625,
Fused,0.1,tcga,24,,-3.96728813559322,18.064710912673625,
Fused,0.1,nacd,0,,0.0708474576271186,4.27225670887384,0.0
Fused,0.1,nacd,1,,0.0708474576271186,4.933735660810765,0.0
Fused,0.1,nacd,2,,0.0657627118644067,4.7843500087921305,0.0
Fused,0.1,nacd,3,,0.0733898305084745,4.6882083796169765,0.0
Fused,0.1,nacd,4,,0.0632203389830508,4.52906580251982,0.0
Fused,0.1,nacd,5,,0.0606779661016949,4.525176468024708,0.0
Fused,0.1,nacd,6,,0.0683050847457627,5.001597201101992,0.0
Fused,0.1,nacd,7,,0.0632203389830508,5.187135002677925,0.0
Fused,0.1,nacd,8,,0.0683050847457627,4.874719004817194,0.0
Fused,0.1,nacd,9,,0.0683050847457627,4.746254355520661,0.0
Fused,0.1,nacd,10,,0.0683050847457627,4.903662329782804,0.0
Fused,0.1,nacd,11,,0.0759322033898305,4.7380192694549415,0.0
Fused,0.1,nacd,12,,0.0810169491525423,4.5756422229891935,0.0
Fused,0.1,nacd,13,,0.0632203389830508,4.6712820305232015,0.0
Fused,0.1,nacd,14,,0.0784745762711864,5.126923327668575,0.0
Fused,0.1,nacd,15,,0.0784745762711864,4.636337686929571,0.0
Fused,0.1,nacd,16,,0.0759322033898305,4.591683545889766,0.0
Fused,0.1,nacd,17,,0.0733898305084745,4.44610290267102,0.0
Fused,0.1,nacd,18,,0.0708474576271186,4.871184754724609,0.0
Fused,0.1,nacd,19,,0.0759322033898305,4.810815975655332,0.0
Fused,0.1,nacd,20,,0.0683050847457627,4.67103565797552,0.0
Fused,0.1,nacd,21,,0.0733898305084745,4.529343695854402,0.0
Fused,0.1,nacd,22,,0.0683050847457627,4.208935384838824,0.0
Fused,0.1,nacd,23,,0.0810169491525423,4.89144046899745,0.0
Fused,0.1,nacd,24,,0.0733898305084745,4.863123742907431,0.0
Fused,0.1,gbsg,0,,0.1089830508474576,13.785582550192125,0.95
Fused,0.1,gbsg,1,,0.1064406779661017,12.992574810159402,0.9833333333333332
Fused,0.1,gbsg,2,,0.1089830508474576,13.20476688277364,0.95
Fused,0.1,gbsg,3,,0.1089830508474576,13.202133987887668,0.9833333333333332
Fused,0.1,gbsg,4,,0.1115254237288135,13.988759889846436,0.9
Fused,0.1,gbsg,5,,0.1115254237288135,14.081532646790702,0.95
Fused,0.1,gbsg,6,,0.1064406779661017,14.189805479034089,0.9833333333333332
Fused,0.1,gbsg,7,,0.1064406779661017,13.689482931859091,0.9833333333333332
Fused,0.1,gbsg,8,,0.1089830508474576,14.097232894466122,0.9666666666666668
Fused,0.1,gbsg,9,,0.1064406779661017,13.801539828594422,0.9833333333333332
Fused,0.1,gbsg,10,,0.1064406779661017,13.381834626178415,1.0
Fused,0.1,gbsg,11,,0.1140677966101695,14.124277509122408,0.95
Fused,0.1,gbsg,12,,0.1038983050847457,13.765741302435488,0.9666666666666668
Fused,0.1,gbsg,13,,0.1089830508474576,13.252125885920616,0.95
Fused,0.1,gbsg,14,,0.1115254237288135,14.171758202039287,0.8833333333333333
Fused,0.1,gbsg,15,,0.1115254237288135,14.57127985932896,0.9166666666666666
Fused,0.1,gbsg,16,,0.1089830508474576,13.542817638179464,0.95
Fused,0.1,gbsg,17,,0.1038983050847457,13.802115094040484,0.9666666666666668
Fused,0.1,gbsg,18,,0.1166101694915254,14.392634548025711,1.0
Fused,0.1,gbsg,19,,0.1115254237288135,13.833287902535504,0.9333333333333332
Fused,0.1,gbsg,20,,0.1089830508474576,13.435038298388184,0.9
Fused,0.1,gbsg,21,,0.1089830508474576,14.135771532339223,0.9333333333333332
Fused,0.1,gbsg,22,,0.1115254237288135,13.865099763987832,0.95
Fused,0.1,gbsg,23,,0.1089830508474576,13.93070176096067,0.9333333333333332
Fused,0.1,gbsg,24,,0.1140677966101695,14.184375337629652,0.9333333333333332
Naive,0.1,tcga,0,,-4.98,5.993419800665123,
Naive,0.1,tcga,1,,-4.98,5.993419800665123,
Naive,0.1,tcga,2,,-4.98,6.378757723451981,
Naive,0.1,tcga,3,,-4.98,6.378757723451981,
Naive,0.1,tcga,4,,-4.98,7.483294007296587,
Naive,0.1,tcga,5,,-4.98,7.483294007296587,
Naive,0.1,tcga,6,,-4.98,7.835142567482739,
Naive,0.1,tcga,7,,-4.98,7.835142567482739,
Naive,0.1,tcga,8,,-4.98,11.269632928733671,
Naive,0.1,tcga,9,,-4.98,11.269632928733671,
Naive,0.1,tcga,10,,-4.98,11.431759466991167,
Naive,0.1,tcga,11,,-4.98,11.431759466991167,
Naive,0.1,tcga,12,,-4.98,15.75158094183221,
Naive,0.1,tcga,13,,-4.98,15.75158094183221,
Naive,0.1,tcga,14,,-4.98,22.652491045265666,
Naive,0.1,tcga,15,,-4.98,22.652491045265666,
Naive,0.1,tcga,16,,-4.98,10.786496466095015,
Naive,0.1,tcga,17,,-4.98,10.786496466095015,
Naive,0.1,tcga,18,,-4.98,12.122977555813318,
Naive,0.1,tcga,19,,-4.98,12.122977555813318,
Naive,0.1,tcga,20,,-4.98,10.099443021025568,
Naive,0.1,tcga,21,,-4.98,10.099443021025568,
Naive,0.1,tcga,22,,-4.98,12.008972019479966,
Naive,0.1,tcga,23,,-4.98,12.008972019479966,
Naive,0.1,tcga,24,,-4.98,13.099854071806394,
Naive,0.1,support,0,,0.093728813559322,8.647593491097789,
Naive,0.1,support,1,,0.093728813559322,9.129665274926989,
Naive,0.1,support,2,,0.0988135593220339,9.698616186030169,
Naive,0.1,support,3,,0.093728813559322,9.281149074809782,
Naive,0.1,support,4,,0.0962711864406779,9.120629777194958,
Naive,0.1,support,5,,0.093728813559322,8.83929643278427,
Naive,0.1,support,6,,0.0962711864406779,8.601173411874365,
Naive,0.1,support,7,,0.0988135593220339,9.647755659754434,
Naive,0.1,support,8,,0.093728813559322,8.877957767307612,
Naive,0.1,support,9,,0.0962711864406779,9.40158944962442,
Naive,0.1,support,10,,0.1013559322033898,8.867458455300037,
Naive,0.1,support,11,,0.0988135593220339,10.3184598946784,
Naive,0.1,support,12,,0.1013559322033898,10.49844643531722,
Naive,0.1,support,13,,0.1013559322033898,9.596841961233986,
Naive,0.1,support,14,,0.0962711864406779,9.702275582683564,
Naive,0.1,support,15,,0.0988135593220339,9.507315926466053,
Naive,0.1,support,16,,0.093728813559322,9.624002115233838,
Naive,0.1,support,17,,0.1013559322033898,10.307615603422589,
Naive,0.1,support,18,,0.1013559322033898,9.428266124775975,
Naive,0.1,support,19,,0.1013559322033898,9.40776034020578,
Naive,0.1,support,20,,0.0962711864406779,9.542521496758877,
Naive,0.1,support,21,,0.0962711864406779,9.36015498874234,
Naive,0.1,support,22,,0.0962711864406779,9.35790030664775,
Naive,0.1,support,23,,0.0988135593220339,9.09603154572448,
Naive,0.1,support,24,,0.0988135593220339,9.600097501052948,
Naive,0.1,metabric,0,,0.0733898305084745,28.8033081346172,
Naive,0.1,metabric,1,,0.0632203389830508,29.074043826424,
Naive,0.1,metabric,2,,0.0733898305084745,30.51847565876725,
Naive,0.1,metabric,3,,0.0683050847457627,27.594106930498377,
Naive,0.1,metabric,4,,0.0835593220338983,30.371026873330106,
Naive,0.1,metabric,5,,0.0733898305084745,30.066497718954786,
Naive,0.1,metabric,6,,0.0708474576271186,30.973989442132652,
Naive,0.1,metabric,7,,0.0810169491525423,31.01633138786862,
Naive,0.1,metabric,8,,0.0759322033898305,30.770471514501505,
Naive,0.1,metabric,9,,0.0632203389830508,29.74778741762416,
Naive,0.1,metabric,10,,0.0683050847457627,29.3966550161786,
